"This report is current as of July 18, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024
To,,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024
Case Receipts,,"7,944","8,336","8,712","11,767","11,034","7,173","9,669","11,393","8,227","6,859","5,665","4,519","6,163","8,993","9,203","8,701","9,390","8,394","8,688","9,333","9,956","10,054","5,501","1,669","1,034"
All Decisions,,"8,680","9,041","7,714","8,588","7,527","7,323","6,359","8,622","9,174","8,552","9,547","5,606","6,825","11,257","11,427","9,077","11,328","12,462","9,437","10,066","9,222","9,297","7,120","6,431","2,641"
Fear Established_Persecution (Y),,"3,098","2,946","2,510","2,583","2,472","2,539","2,124","2,682","2,582","2,163","2,110","1,920","1,816","1,844","2,059","1,892","2,321","2,851","2,532","2,570","2,464","2,347","1,958","1,361",581
Fear Established_Torture (Y),,"2,077","2,102","1,886","1,945","1,554","1,569","1,516","2,301","2,102","1,585","1,480","1,339","1,407","1,631","1,600","1,422","1,831","2,043","1,747","1,770","1,566","1,575","1,287",956,456
Fear Not Established (N),,"2,748","3,134","2,575","3,053","2,453","2,228","2,003","2,791","2,832","2,528","2,583","1,639","2,149","3,476","3,523","3,215","3,244","3,681","3,604","3,852","3,777","3,569","2,492","1,467",606
Administratively Closed,,757,858,743,"1,007","1,048",987,716,848,"1,658","2,276","3,374",708,"1,453","4,306","4,245","2,548","3,932","3,887","1,554","1,874","1,415","1,806","1,383","2,647",998
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024
To,,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024
To,,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024
Case Receipts,,477,332,669,639,"1,081",720,766,306,489,69,422,281,859,875,705,658,540,376,372,781,759,776,520,16,22
All Decisions,,525,433,415,458,397,161,358,710,603,554,826,413,561,"1,130",846,697,871,730,563,587,631,570,489,669,101
Fear Established_Persecution (Y),,291,241,155,173,169,57,158,227,148,50,103,145,143,230,240,245,227,252,163,194,184,160,93,8,20
Fear Established_Torture (Y),,82,86,82,117,95,46,127,302,135,36,73,136,136,229,179,174,189,241,187,182,203,207,83,19,45
Fear Not Established (N),,133,79,140,144,105,41,68,172,193,43,40,101,224,406,228,167,199,138,196,198,225,168,77,20,31
Administratively Closed,,19,27,38,24,28,17,5,9,127,425,610,31,58,265,199,111,256,99,17,13,19,35,236,622,5
All Reasonable Fear Cases,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024
